46172,73,61,34164,46206,fibonacci
46206,74,61,55279,46261,fibonacci
46261,75,61,46116,92378,simply
92378,75,62,89443,92467,fibonacci
92467,76,62,92233,18470,simply
18470,76,63,14472,18484,fibonacci
18484,77,63,18446,36931,simply
36931,77,64,23416,36954,fibonacci
36954,78,64,37889,36992,fibonacci
36954,78,64,36893,73848,simply
73848,79,65,73786,14763,simply
14763,79,66,61305,14769,fibonacci
14769,80,66,99194,14779,fibonacci
14779,81,66,14757,29536,simply
29536,81,67,16050,29553,fibonacci
29553,82,67,29514,59067,simply
29553,82,67,25969,29578,fibonacci
29578,83,68,42019,29621,fibonacci
29621,84,68,59029,88650,simply
88650,84,69,67989,88718,fibonacci
88718,85,69,11805,20677,simply
20677,85,70,11000,20688,fibonacci
20688,86,70,23611,44300,simply
44300,86,71,17799,44318,fibonacci
44318,87,71,47223,91542,simply
91542,87,72,28800,91570,fibonacci
91570,88,72,46600,91617,fibonacci
91617,89,72,94447,18606,simply
18606,89,73,18889,37495,simply
37495,89,74,75401,37503,fibonacci
37503,90,74,12200,37515,fibonacci
37515,91,74,37778,75294,simply
75294,91,75,19740,75314,fibonacci
75314,92,75,75557,15087,simply
15087,92,76,31940,15090,fibonacci
15090,93,76,15111,30201,simply
15090,93,76,51680,15095,fibonacci
15095,94,77,83621,15103,fibonacci
15103,95,77,30223,45327,simply
45327,95,78,13530,45340,fibonacci
45340,96,78,60446,10578,simply
10578,96,79,21892,10580,fibonacci
10580,97,79,12089,22670,simply
22670,97,80,35422,22673,fibonacci
22673,98,80,24178,46852,simply
22673,98,80,57314,22679,fibonacci
22679,99,81,92737,22688,fibonacci
22688,100,81,48357,71045,simply
71045,100,82,15005,71060,fibonacci
71060,101,82,96714,16777,simply
16777,101,83,24278,16779,fibonacci
16779,102,83,19342,36122,simply
36122,102,84,39284,36126,fibonacci
36126,103,84,38685,74812,simply
74812,103,85,63563,74818,fibonacci
74818,104,85,10284,74828,fibonacci
74828,105,85,77371,15220,simply
15220,105,86,16641,15221,fibonacci
15221,106,86,15474,30695,simply
30695,106,87,26925,30698,fibonacci
30698,107,87,30948,61647,simply
61647,107,88,43566,61651,fibonacci
61651,108,88,70492,61658,fibonacci
61651,108,88,61897,12354,simply
12354,109,89,12379,24734,simply
24734,109,90,11405,24735,fibonacci
24735,110,90,18455,24737,fibonacci
24737,111,90,24758,49496,simply
49496,111,91,29861,49499,fibonacci
49499,112,91,49517,99016,simply
99016,112,92,48316,99021,fibonacci
99021,113,92,99035,19805,simply
19805,113,93,78177,19806,fibonacci
19806,114,93,12649,19807,fibonacci
19806,114,93,19807,39613,simply
39613,115,94,20467,39615,fibonacci
39615,116,94,39614,79229,simply
79229,116,95,33116,79232,fibonacci
79232,117,95,79228,15846,simply
15846,117,96,53583,15846,fibonacci
15846,118,96,15845,31692,simply
31692,118,97,86700,31693,fibonacci
31693,119,97,14028,31694,fibonacci
31694,120,97,31691,63385,simply
63385,120,98,22698,63388,fibonacci
63388,121,98,63382,12677,simply
12677,121,99,36726,12677,fibonacci
12677,122,99,12676,25353,simply
25353,122,100,59425,25354,fibonacci
25354,123,100,25353,50707,simply
50707,123,101,96151,50708,fibonacci
50708,124,101,50706,10141,simply
10141,124,102,15557,10141,fibonacci
10141,125,102,10141,20282,simply
20282,125,103,25172,20283,fibonacci
20283,126,103,40730,20283,fibonacci
20283,127,103,20282,40565,simply
40565,127,104,65903,40566,fibonacci
40566,128,104,40564,81131,simply
81131,128,105,10663,81132,fibonacci
81132,129,105,81129,16226,simply
16226,129,106,17253,16226,fibonacci
16226,130,106,16225,32452,simply
32452,130,107,27917,32452,fibonacci
32452,131,107,32451,64904,simply
64904,131,108,45170,64904,fibonacci
64904,132,108,73088,64905,fibonacci
64905,133,108,64903,12980,simply
12980,133,109,11825,12981,fibonacci
12981,134,109,19134,12981,fibonacci
12981,134,109,12980,25961,simply
25961,135,110,30960,25962,fibonacci
25962,136,110,25961,51923,simply
51923,136,111,50095,51924,fibonacci
51924,137,111,51922,10384,simply
10384,137,112,81055,10384,fibonacci
10384,138,112,10384,20769,simply
20769,138,113,13115,20769,fibonacci
20769,139,113,21220,20769,fibonacci
20769,139,113,20769,41538,simply
41538,140,114,34335,41539,fibonacci
41539,141,114,41538,83077,simply
83077,141,115,83076,16615,simply
16615,141,116,55556,16615,fibonacci
16615,142,116,89892,16615,fibonacci
16615,143,116,16615,33230,simply
33230,143,117,14544,33231,fibonacci
33231,144,117,23534,33231,fibonacci
33231,144,117,33230,66461,simply
66461,145,118,66461,13292,simply
13292,145,119,38079,13292,fibonacci
13292,146,119,13292,26584,simply
26584,146,120,61613,26584,fibonacci
26584,147,120,99692,26584,fibonacci
26584,148,120,26584,53169,simply
53169,148,121,16130,53169,fibonacci
53169,149,121,53169,10633,simply
10633,149,122,26099,10633,fibonacci
10633,150,122,10633,21267,simply
21267,150,123,42230,21267,fibonacci
21267,151,123,68330,21267,fibonacci
21267,152,123,21267,42535,simply
42535,152,124,11056,42535,fibonacci
42535,153,124,42535,85070,simply
85070,153,125,17889,85071,fibonacci
85071,154,125,85070,17014,simply
17014,154,126,28945,17014,fibonacci
17014,155,126,17014,34028,simply
34028,155,127,46834,34028,fibonacci
34028,156,127,34028,68056,simply
68056,156,128,75779,68056,fibonacci
68056,157,128,12261,68056,fibonacci
68056,157,128,68056,13611,simply
13611,158,129,19839,13611,fibonacci
13611,159,129,13611,27222,simply
27222,159,130,32100,27222,fibonacci
27222,160,130,27222,54445,simply
54445,160,131,51939,54445,fibonacci
54445,161,131,84040,54445,fibonacci
54445,162,131,54445,10889,simply
10889,162,132,13598,10889,fibonacci
10889,163,132,10889,21778,simply
21778,163,133,22002,21778,fibonacci
21778,164,133,21778,43556,simply
43556,164,134,35600,43556,fibonacci
43556,165,134,43556,87112,simply
87112,165,135,57602,87112,fibonacci
87112,166,135,87112,17422,simply
17422,166,136,93202,17422,fibonacci
17422,167,136,15080,17422,fibonacci
17422,168,136,17422,34844,simply
34844,168,137,24400,34844,fibonacci
34844,169,137,34844,69689,simply
69689,169,138,39481,69689,fibonacci
69689,170,138,69689,13937,simply
13937,170,139,63881,13937,fibonacci
13937,171,139,13937,27875,simply
27875,171,140,10336,27875,fibonacci
27875,172,140,27875,55751,simply
55751,172,141,16724,55751,fibonacci
55751,173,141,27060,55751,fibonacci
55751,174,141,55751,11150,simply
11150,174,142,43785,11150,fibonacci
11150,175,142,11150,22300,simply
22300,175,143,70845,22300,fibonacci
22300,176,143,22300,44601,simply
44601,176,144,11463,44601,fibonacci
44601,177,144,44601,89203,simply
44601,177,144,18547,44601,fibonacci
44601,178,145,30010,44601,fibonacci
44601,179,145,89202,13380,simply
13380,179,146,48558,13380,fibonacci
13380,180,146,17840,31221,simply
31221,180,147,78569,31221,fibonacci
31221,181,147,35681,66902,simply
66902,181,148,12712,66902,fibonacci
66902,182,148,20569,66902,fibonacci
66902,182,148,71362,13826,simply
13826,183,149,14272,28098,simply
28098,183,150,33282,28098,fibonacci
28098,184,150,28544,56643,simply
56643,184,151,53852,56643,fibonacci
56643,185,151,57089,11373,simply
11373,185,152,87134,11373,fibonacci
11373,186,152,14098,11373,fibonacci
11373,187,152,11417,22791,simply
22791,187,153,22812,22791,fibonacci
22791,188,153,22835,45627,simply
22791,188,153,36910,22791,fibonacci
22791,189,154,45671,68463,simply
68463,189,155,59723,68463,fibonacci
68463,190,155,96633,68463,fibonacci
68463,191,155,91343,15980,simply
15980,191,156,15635,15980,fibonacci
15980,192,156,18268,34249,simply
34249,192,157,25299,34249,fibonacci
34249,193,157,36537,70787,simply
70787,193,158,40934,70787,fibonacci
70787,194,158,73075,14386,simply
14386,194,159,66233,14386,fibonacci
14386,195,159,10716,14386,fibonacci
14386,196,159,14615,29001,simply
29001,196,160,17340,29001,fibonacci
29001,197,160,29230,58231,simply
58231,197,161,28057,58231,fibonacci
58231,198,161,58460,11669,simply
58231,198,161,45397,58231,fibonacci
58231,199,162,11692,17515,simply
17515,199,163,73454,17515,fibonacci
17515,200,163,11885,17515,fibonacci
17515,201,163,23384,40899,simply
40899,201,164,19230,40899,fibonacci
40899,202,164,46768,87667,simply
87667,202,165,31115,87667,fibonacci
87667,203,165,93536,18120,simply
87667,203,165,50346,87667,fibonacci
87667,204,166,18707,27473,simply
27473,204,167,81462,27473,fibonacci
27473,205,167,13180,27473,fibonacci
27473,206,167,37414,64888,simply
64888,206,168,21327,64888,fibonacci
64888,207,168,74828,13971,simply
13971,207,169,34507,13971,fibonacci
13971,208,169,55835,13971,fibonacci
13971,208,169,14965,28937,simply
28937,209,170,29931,58869,simply
58869,209,171,90343,58869,fibonacci
58869,210,171,14617,58869,fibonacci
58869,211,171,59863,11873,simply
11873,211,172,11972,23845,simply
23845,211,173,23652,23845,fibonacci
23845,212,173,38269,23845,fibonacci
23845,213,173,23945,47791,simply
47791,213,174,61922,47791,fibonacci
47791,214,174,47890,95681,simply
95681,214,175,10019,95681,fibonacci
95681,215,175,16211,95681,fibonacci
95681,216,175,95780,19146,simply
19146,216,176,19156,38302,simply
38302,216,177,26230,38302,fibonacci
38302,217,177,42442,38302,fibonacci
38302,218,177,38312,76614,simply
76614,218,178,68672,76614,fibonacci
76614,219,178,76624,15323,simply
15323,219,179,11111,15323,fibonacci
15323,220,179,15324,30648,simply
15323,220,179,17978,15323,fibonacci
15323,221,180,30649,45973,simply
45973,221,181,29090,45973,fibonacci
45973,222,181,47068,45973,fibonacci
45973,223,181,61299,10727,simply
10727,223,182,76159,10727,fibonacci
10727,224,182,12259,22987,simply
22987,224,183,12322,22987,fibonacci
22987,225,183,24519,47507,simply
47507,225,184,19938,47507,fibonacci
47507,226,184,32261,47507,fibonacci
47507,227,184,49039,96547,simply
96547,227,185,98079,19462,simply
19462,227,186,52200,19462,fibonacci
19462,228,186,84461,19462,fibonacci
19462,229,186,19615,39078,simply
39078,229,187,13666,39078,fibonacci
39078,230,187,39231,78310,simply
78310,230,188,22112,78310,fibonacci
78310,231,188,35778,78310,fibonacci
78310,231,188,78463,15677,simply
15677,232,189,15692,31370,simply
31370,232,190,57890,31370,fibonacci
31370,233,190,31385,62755,simply
62755,233,191,93669,62755,fibonacci
62755,234,191,15156,62755,fibonacci
62755,235,191,62771,12552,simply
12552,235,192,24522,12552,fibonacci
12552,236,192,12554,25106,simply
25106,236,193,39679,25106,fibonacci
25106,237,193,25108,50215,simply
50215,237,194,64202,50215,fibonacci
50215,238,194,10388,50215,fibonacci
50215,239,194,50216,10043,simply
10043,239,195,16808,10043,fibonacci
10043,240,195,10043,20086,simply
20086,240,196,27196,20086,fibonacci
20086,241,196,20086,40173,simply
40173,241,197,44004,40173,fibonacci
40173,242,197,40173,80346,simply
40173,242,197,71201,40173,fibonacci
40173,243,198,80346,12052,simply
12052,243,199,11520,12052,fibonacci
12052,244,199,18640,12052,fibonacci
12052,245,199,16069,28121,simply
28121,245,200,30161,28121,fibonacci
28121,246,200,32138,60260,simply
60260,246,201,48801,60260,fibonacci
60260,247,201,64277,12453,simply
12453,247,202,78963,12453,fibonacci
12453,248,202,12776,12453,fibonacci
12453,248,202,12855,25309,simply
25309,249,203,25711,51020,simply
51020,249,204,20672,51020,fibonacci
51020,250,204,33449,51020,fibonacci
